source_name,canonical_name,decision,reason
Pashto,Pashto,keep,"Canonical spelling"
Pushtu,Pashto,merge,"Alternate romanization of the same language"
Khmer,Khmer,keep,"Canonical name"
Cambodian,Khmer,merge,"Country-based name for the same language"
Farsi,Farsi,keep,"Canonical name in US service contexts"
Persian,Farsi,merge,"Same language, English vs endonym"
Dari,Dari,keep,"Afghan Persian; largely intelligible with Farsi but a distinct community with separate resettlement services"
Pahlavi,,unresolved,"Middle Persian, a dead language; 3 families is likely a data entry error"
Tagalog,Tagalog,keep,"Canonical name"
Pilipino/Filipino,Tagalog,merge,"Same language under the national-language name"
Cebuano,Cebuano,keep,"Canonical name"
Bisaya,Cebuano,merge,"Alternate name"
Visayan,Cebuano,merge,"Regional name for the same language"
Chuukese,Chuukese,keep,"Canonical spelling"
Chuuk,Chuukese,merge,"Island name used for the language"
Chungki/Chunkese,Chuukese,merge,"Misspelling; confirmed same by domain knowledge"
Wolof,Wolof,keep,"English spelling"
Ouolof,Wolof,merge,"French spelling of the same language"
Kinyarwanda,Kinyarwanda,keep,"Canonical name"
Rwanda,Kinyarwanda,merge,"Country-based name"
Kikuyu,Kikuyu,keep,"Canonical spelling"
Kikuya,Kikuyu,merge,"Misspelling"
Amharic,Amharic,keep,"Distinct language; Geez script"
Tigrinya,Tigrinya,keep,"Distinct language; Geez script; not intelligible with Amharic"
Oromo,Oromo,keep,"Distinct language; Latin script; an Amharic document is unreadable to an Oromo speaker"
Ethiopic,,unresolved,"Name of a writing system, not a language; used by both Amharic and Tigrinya. 34 families. Left unresolved rather than assigned by assumption"
Somali,Somali,keep,"Standard Somali"
Maay,Maay Maay,keep,"Distinct Somali language, often not intelligible with Standard Somali"
Chinese-Cantonese,Chinese-Cantonese,keep,"Distinct spoken language"
Chinese-Mandarin,Chinese-Mandarin,keep,"Distinct spoken language"
Chinese-Unspecified,,unresolved,"243 families; cannot determine Mandarin vs Cantonese"
Toishanese,Taishanese,merge,"Alternate romanization"
Taishan,Taishanese,merge,"Alternate romanization"
Haitian Creole,Haitian Creole,keep,"Specific language"
Creole,,unresolved,"Ambiguous; could be Haitian, Jamaican, or other"
Bantu,,unresolved,"A family of 500+ languages, not a language"
Nigerian,,unresolved,"Nigeria has 500+ languages"
Liberian,,unresolved,"Probably Liberian English or Kreyol, cannot confirm"
Latin,,unresolved,"Ten families almost certainly did not request Latin"
Unknown,,exclude,"No language information"
Pur?pecha,Purepecha,merge,"Character encoding failure in the source file"
