agency_name,sector,language,families,written_tier,oral_tier,written_gap,oral_gap,gap_score,severity,families_unserved,evidence_url,capture_date,notes
Highline School District,schools,Spanish,5408,2,2,3244.7999999999997,1081.6000000000001,2595.8,0.48,0,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,Google Translate widget restricted to 7 languages. Policy 4218 promises free vital-document translation and interpreters on request. No published translated documents found
Kent School District,schools,Spanish,3724,1,2,3165.4,744.8000000000001,2439.2,0.655,0,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,"Unrestricted Google Translate widget, 135+ languages. District is expanding an hourly interpreter network. No human-translated documents located"
Kent School District,schools,Dari,962,1,2,817.6999999999999,192.4,630.1,0.655,0,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,Covered by the unrestricted widget. No human-translated documents located
Kent School District,schools,Ukrainian,537,1,2,456.45,107.4,351.7,0.655,0,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,Covered by the unrestricted widget. No human-translated documents located
Kent School District,schools,Vietnamese,535,1,2,454.75,107.0,350.4,0.655,0,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,Covered by the unrestricted widget. No human-translated documents located
Kent School District,schools,Punjabi,500,1,2,425.0,100.0,327.5,0.655,0,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,Covered by the unrestricted widget. No human-translated documents located
Kent School District,schools,Somali,405,1,2,344.25,81.0,265.3,0.655,0,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,Covered by the unrestricted widget. No human-translated documents located
Kent School District,schools,Russian,352,1,2,299.2,70.4,230.6,0.655,0,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,Covered by the unrestricted widget. No human-translated documents located
Kent School District,schools,Pashto,351,1,2,298.34999999999997,70.2,229.9,0.655,0,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,Covered by the unrestricted widget. No human-translated documents located
Highline School District,schools,Vietnamese,459,2,2,275.4,91.80000000000001,220.3,0.48,0,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,In the 7-language widget. Pathway reachable via machine translation per rule 5.6
Federal Way School District,schools,Spanish,3480,3,2,0.0,696.0,208.8,0.06,0,https://www.fwps.org/academics/multilingual-servicesbiliteracy/language-access-plan,2026-09-02,Language Access Plan plus a translated family handbook. Language hotline 253-945-2198
Auburn School District,schools,Spanish,3432,3,2,0.0,686.4000000000001,205.9,0.06,0,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,In both the 11-language Language Access Plan and the 25-language Parent Rights set
Renton School District,schools,Dari,199,0,0,199.0,199.0,199.0,1.0,199,https://www.rentonschools.us/departments/community-relations/translation-and-interpretation-services,2026-09-02,Third-largest need in the district. Absent from published documents and from the self-serve instruction languages. No website widget. OSPI template exists
Kent School District,schools,Arabic,270,1,2,229.5,54.0,176.8,0.655,0,https://www.kent.k12.wa.us/page/translation-services,2026-09-02,Covered by the unrestricted widget. No human-translated documents located
