agency_name,sector,language,families,written_tier,oral_tier,evidence_url,capture_date,translated_doc_count,translated_doc_types,pathway_in_language,notes,assigned_by
Highline School District,schools,Spanish,5408,2,2,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,0,,TRUE,"Google Translate widget restricted to 7 languages. Policy 4218 promises free vital-document translation and interpreters on request. No published translated documents found",EH
Highline School District,schools,Vietnamese,459,2,2,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,0,,TRUE,"In the 7-language widget. Pathway reachable via machine translation per rule 5.6",EH
Highline School District,schools,Somali,215,2,2,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,0,,TRUE,"In the widget. District also runs a Somali language instruction program",EH
Highline School District,schools,Dari,203,2,2,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,0,,TRUE,"In the widget. Pashto is not, despite the same community",EH
Highline School District,schools,Amharic,164,0,0,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,0,,FALSE,"Excluded from the restricted widget. District homepage names Amharic as a top family language. Policy 4218 translation right is undiscoverable in Amharic. OSPI template exists",EH
Highline School District,schools,Pashto,94,0,0,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,0,,FALSE,"Excluded from the widget though Dari is included. Same Afghan resettlement population. OSPI template exists",EH
Highline School District,schools,French,67,0,0,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,0,,FALSE,"Excluded from the widget. OSPI template exists",EH
Highline School District,schools,Arabic,58,0,0,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,0,,FALSE,"Excluded from the widget. Named as a top family language on the district homepage. OSPI template exists",EH
Highline School District,schools,Tigrinya,54,0,0,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,0,,FALSE,"Excluded from the widget. OSPI template exists",EH
Highline School District,schools,Farsi,46,0,0,https://www.highlineschools.org/about/official-notices/website-translation,2026-09-02,0,,FALSE,"Excluded from the widget though Dari is included. Largely mutually intelligible. OSPI template exists",EH
Auburn School District,schools,Spanish,3432,3,2,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,2,"language access plan; parent rights",TRUE,"In both the 11-language Language Access Plan and the 25-language Parent Rights set",EH
Auburn School District,schools,Ukrainian,737,3,2,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,2,"language access plan; parent rights",TRUE,"In both document sets",EH
Auburn School District,schools,Dari,679,3,2,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,2,"language access plan; parent rights",TRUE,"In both document sets",EH
Auburn School District,schools,Marshallese,342,3,2,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,2,"language access plan; parent rights",TRUE,"In both document sets. Auburn holds 342 of the region's 446 Marshallese families and covers the language",EH
Auburn School District,schools,Pashto,229,3,2,https://sites.google.com/auburn.wednet.edu/languageaccess/home,2026-09-02,2,"language access plan; parent rights",TRUE,"In both document sets. Covers Pashto and Dari, unlike Highline",EH
