agency_id,agency_name,sector,language,written_tier,oral_tier,collection_tier,pathway_in_language,pathway_type,translated_page_count,translated_page_slugs,evidence_url,oral_availability,oral_hours,capture_date,notes,assigned_by,assignment_method
kcmetro,King County Metro,transit,Acholi,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Acholi,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Aguacateco,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Aguacateco,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Akateko,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Akateko,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Albanian,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Albanian,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,American Sign Language,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,American Sign Language,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Amharic,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Amharic,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Arabic,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"EXCLUDED from tier 3: shareddata/right-to-left-languages component, a UI fragment, not rider content | Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Arabic,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Armenian,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Armenian,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Ayula-Bambara,0,0,,False,none,0,,https://kingcounty.gov/en/dept/metro/contact-us,,,2026-09-05,"Not covered by the widget and no in-language pathway, so there is no published route to the interpreter line in this language",EH,derived
sound_transit,Sound Transit,transit,Ayula-Bambara,0,0,,False,none,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"No widget coverage and not on the I Speak card | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
kcmetro,King County Metro,transit,Azerbaijani,1,2,,True,machine_widget,0,,https://kingcounty.gov/en/dept/metro/contact-us,weekdays,"6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget. The interpreter line instruction at 206-553-3000 is published in English only | The interpreter line is option 1 on the general call centre number and shares its hours: 6am-6pm trip planning, 8am-5pm fares, closed weekends and holidays",EH,derived
sound_transit,Sound Transit,transit,Azerbaijani,1,2,,True,machine_widget,0,,https://www.soundtransit.org/get-to-know-us/office-civil-rights-equity-inclusion/title-vi-civil-rights/registering-complaint,,,2026-09-05,"Tier 2 rests entirely on the unrestricted Google Translate widget | Sound Transit's Title VI threshold is 25,000+ speakers and about 1% of a 1,087 sq mi three-county district. No language specific to South King County can reach it",EH,derived
